1	Cannot connect to the Docker daemon	Docker daemon is not running	sudo systemctl start docker	The Docker engine isn't started. This command starts it.
1	port is already allocated	Docker port conflict — host port in use	docker ps	A container or process already has this port. See what's running with docker ps.
1	unauthorized.*failed to fetch	Docker registry authentication failed.	docker login	Authenticate with the registry.
127	docker: command not found	Docker is not installed.	-	Install Docker from https://docs.docker.com/get-docker/
1	Permission denied	Missing execute permission or wrong file ownership	chmod +x $1	The file exists but the OS won't run it without execute permission.
126	Permission denied	Script is not executable	chmod +x $1	Add execute permission to run this file directly.
*	Permission denied (publickey)	SSH key authentication failed.	ssh-add ~/.ssh/id_rsa	Ensure the correct SSH key is loaded.
*	ssh: connect to host.*Connection timed out	SSH connection timed out.	ping $1	Check network connectivity or firewall rules.
*	Host key verification failed	SSH host key changed or unknown.	-	Remove the old key with ssh-keygen -R <host> or verify the host.
2	make: \*\*\* \[([^\]]+)\] Error	Make target "$1" failed during build.	-	Check the build output above for the actual compiler error.
127	make: command not found	GNU Make is not installed.	sudo apt-get install make	Install GNU Make.
127	gcc: command not found	GCC compiler is not installed.	sudo apt-get install gcc	Install the GNU C compiler.
127	javac: command not found	Java compiler is not installed.	sudo apt-get install default-jdk	Install the Java Development Kit.
1	undefined reference to	Linker can't find a symbol — missing library.	-	Ensure the library is linked (add -l<libname> to compile command).
1	fatal error:.*No such file or directory	Header file is missing.	-	Install the development package that provides the header.
1	ClassNotFoundException: (.+)	Java class "$1" not found on classpath.	-	Ensure the class is compiled and the classpath is correct.
1	cannot find module providing package	Go module dependency is missing.	go get	Fetch the missing Go module.
1	could not find.*in registry	Cargo crate is missing from the registry.	cargo add $1	Add the crate to Cargo.toml.
127	go: command not found	Go is not installed.	-	Install Go from https://go.dev/dl/
127	cargo: command not found	Rust/Cargo is not installed.	-	Install Rust from https://rustup.rs/
