1	ModuleNotFoundError: No module named '([^']+)'	Python module '$1' is not installed	pip install $1	The script imported '$1' but it's not in your Python environment.
1	ImportError: cannot import name '([^']+)'	The requested symbol does not exist in the module.	-	Check the module's documentation for the correct name.
1	No module named pip	pip is missing from this Python environment	python -m ensurepip --upgrade	pip isn't available — this bootstraps it from the stdlib.
1	requirements\.txt.*No such file	requirements.txt not found in current directory	ls *.txt	You ran pip install -r but requirements.txt doesn't exist here.
127	python3: command not found	Python 3 is not installed or not on PATH	-	Install Python 3 from https://python.org or: sudo apt install python3
127	python: command not found	Python is not installed or not on PATH	-	Install Python from https://python.org or: sudo apt install python3
1	SyntaxError:	Python syntax error in your script.	-	Check the file and line number shown above for a typo.
1	IndentationError:	Python indentation is inconsistent.	-	Use consistent spaces (not mixed tabs/spaces) for indentation.
1	NameError: name '([^']+)' is not defined	Python variable or function '$1' is not defined.	-	Check spelling or ensure '$1' is imported/declared before use.
1	FileNotFoundError:.*'([^']+)'	Python cannot find the file '$1'.	ls $1	Verify the file path is correct and the file exists.
